1968 Household Travel Survey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"HOME TO WORK AND WORK TO HOME TRIPS, ALL DAY",,,,,,PROPORTIONS,,,,,CUMULATIVE,,,,,,EQUATION,,,,,EQUATION: BALANCED,,,
17.5,99316,194525,10752,,,=B57/B$73,=C57/C$73,=D57/D$73,,,=G57+L56,=H57+M56,=I57+N56,,,,=EXP(3.29-0.076*$A57)/100,=EXP(3.23-0.074*$A57)/100,=EXP(1.8-0.0003*$A57*$A57)/100,,,=R57/R$73,=S57/S$73,=T57/T$73,
22.5,33422,63467,4642,,,=B58/B$73,=C58/C$73,=D58/D$73,,,=G58+L57,=H58+M57,=I58+N57,,,,=EXP(3.29-0.076*$A58)/100,=EXP(3.23-0.074*$A58)/100,=EXP(1.8-0.0003*$A58*$A58)/100,,,=R58/R$73,=S58/S$73,=T58/T$73,
27.5,115020,224443,30923,,,=B59/B$73,=C59/C$73,=D59/D$73,,,=G59+L58,=H59+M58,=I59+N58,,,,=EXP(3.29-0.076*$A59)/100,=EXP(3.23-0.074*$A59)/100,=EXP(1.8-0.0003*$A59*$A59)/100,,,=R59/R$73,=S59/S$73,=T59/T$73,
32.5,11967,21960,4890,,,=B60/B$73,=C60/C$73,=D60/D$73,,,=G60+L59,=H60+M59,=I60+N59,,,,=EXP(3.29-0.076*$A60)/100,=EXP(3.23-0.074*$A60)/100,=EXP(1.8-0.0003*$A60*$A60)/100,,,=R60/R$73,=S60/S$73,=T60/T$73,
37.5,13976,22363,5374,,,=B61/B$73,=C61/C$73,=D61/D$73,,,=G61+L60,=H61+M60,=I61+N60,,,,=EXP(3.29-0.076*$A61)/100,=EXP(3.23-0.074*$A61)/100,=EXP(1.8-0.0003*$A61*$A61)/100,,,=R61/R$73,=S61/S$73,=T61/T$73,
42.5,27945,52755,14247,,,=B62/B$73,=C62/C$73,=D62/D$73,,,=G62+L61,=H62+M61,=I62+N61,,,,=EXP(3.29-0.076*$A62)/100,=EXP(3.23-0.074*$A62)/100,=EXP(1.8-0.0003*$A62*$A62)/100,,,=R62/R$73,=S62/S$73,=T62/T$73,
47.5,5356,7458,2776,,,=B63/B$73,=C63/C$73,=D63/D$73,,,=G63+L62,=H63+M62,=I63+N62,,,,=EXP(3.29-0.076*$A63)/100,=EXP(3.23-0.074*$A63)/100,=EXP(1.8-0.0003*$A63*$A63)/100,,,=R63/R$73,=S63/S$73,=T63/T$73,
52.5,2304,3951,1303,,,=B64/B$73,=C64/C$73,=D64/D$73,,,=G64+L63,=H64+M63,=I64+N63,,,,=EXP(3.29-0.076*$A64)/100,=EXP(3.23-0.074*$A64)/100,=EXP(1.8-0.0003*$A64*$A64)/100,,,=R64/R$73,=S64/S$73,=T64/T$73,
57.5,13118,26729,15714,,,=B65/B$73,=C65/C$73,=D65/D$73,,,=G65+L64,=H65+M64,=I65+N64,,,,=EXP(3.29-0.076*$A65)/100,=EXP(3.23-0.074*$A65)/100,=EXP(1.8-0.0003*$A65*$A65)/100,,,=R65/R$73,=S65/S$73,=T65/T$73,
62.5,1319,1601,995,,,=B66/B$73,=C66/C$73,=D66/D$73,,,=G66+L65,=H66+M65,=I66+N65,,,,=EXP(3.29-0.076*$A66)/100,=EXP(3.23-0.074*$A66)/100,=EXP(1.8-0.0003*$A66*$A66)/100,,,=R66/R$73,=S66/S$73,=T66/T$73,
67.5,941,2409,1069,,,=B67/B$73,=C67/C$73,=D67/D$73,,,=G67+L66,=H67+M66,=I67+N66,,,,=EXP(3.29-0.076*$A67)/100,=EXP(3.23-0.074*$A67)/100,=EXP(1.8-0.0003*$A67*$A67)/100,,,=R67/R$73,=S67/S$73,=T67/T$73,
72.5,2347,5000,3444,,,=B68/B$73,=C68/C$73,=D68/D$73,,,=G68+L67,=H68+M67,=I68+N67,,,,=EXP(3.29-0.076*$A68)/100,=EXP(3.23-0.074*$A68)/100,=EXP(1.8-0.0003*$A68*$A68)/100,,,=R68/R$73,=S68/S$73,=T68/T$73,
77.5,917,1499,1170,,,=B69/B$73,=C69/C$73,=D69/D$73,,,=G69+L68,=H69+M68,=I69+N68,,,,=EXP(3.29-0.076*$A69)/100,=EXP(3.23-0.074*$A69)/100,=EXP(1.8-0.0003*$A69*$A69)/100,,,=R69/R$73,=S69/S$73,=T69/T$73,
82.5,324,795,245,,,=B70/B$73,=C70/C$73,=D70/D$73,,,=G70+L69,=H70+M69,=I70+N69,,,,=EXP(3.29-0.076*$A70)/100,=EXP(3.23-0.074*$A70)/100,=EXP(1.8-0.0003*$A70*$A70)/100,,,=R70/R$73,=S70/S$73,=T70/T$73,
87.5,1552,3999,3005,,,=B71/B$73,=C71/C$73,=D71/D$73,,,=G71+L70,=H71+M70,=I71+N70,,,,=EXP(3.29-0.076*$A71)/100,=EXP(3.23-0.074*$A71)/100,=EXP(1.8-0.0003*$A71*$A71)/100,,,=R71/R$73,=S71/S$73,=T71/T$73,
92.5,257,495,488,,,=B72/B$73,=C72/C$73,=D72/D$73,,,=G72+L71,=H72+M71,=I72+N71,,,,=EXP(3.29-0.076*$A72)/100,=EXP(3.23-0.074*$A72)/100,=EXP(1.8-0.0003*$A72*$A72)/100,,,=R72/R$73,=S72/S$73,=T72/T$73,
,=SUM(B54:B72),=SUM(C54:C72),=SUM(D54:D72),,,,,,,,,,,,,,=SUM(R54:R72),=SUM(S54:S72),=SUM(T54:T72),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LINKED X-WORK (AM) and WORK-X (PM) TRIPS,,,,,,PROPORTIONS,,,,,CUMULATIVE,,,,,,,,,,,,,,
,AU1,AU2,TRN,WALK,,AU1,AU2,TRN,WALK,,AU1,AU2,TRN,WALK,,,AU1,AU2,TRN,WALK,,AU1,AU2,TRN,WALK
2.5,4343,2105,381,10,,=B102/B$120,=C102/C$120,=D102/D$120,=E102/E$120,,=G102,=H102,=I102,=J102,,,=EXP(2.44-0.0007*$A102*$A102)/100,=EXP(2.3-0.0005*$A102*$A102)/100,=EXP(2.14-0.0003*$A102*$A102)/100,0,,=R102/R$120,=S102/S$120,=T102/T$120,=U102/U$120
7.5,5178,2790,1182,155,,=B103/B$120,=C103/C$120,=D103/D$120,=E103/E$120,,=G103+L102,=H103+M102,=I103+N102,=J103+O102,,,=EXP(2.44-0.0007*$A103*$A103)/100,=EXP(2.3-0.0005*$A103*$A103)/100,=EXP(2.14-0.0003*$A103*$A103)/100,=EXP(5.15-0.92*(LN($A103+0)))/100,,=R103/R$120,=S103/S$120,=T103/T$120,=U103/U$120
